piece	count
.	16187571
,	12010096
▁	9187160
'	8193342
▁ve	7904636
▁bir	6200170
:	3063975
▁"	2620323
"	2296718
▁için	2046587
▁olarak	1763076
▁(	1554083
a	1482280
▁bu	1325163
in	1320955
▁Bu	1312125
e	1300072
da	1284440
)	1283446
▁-	1250506
nin	1186371
de	1159044
nın	1092441
▁daha	1080351
▁da	1001753
▁ile	965951
▁olan	922159
ın	910684
▁de	896050
▁veya	889042
i	863146
-	810783
n	794153
<soru_cevap>	790635
</soru_cevap>	790635
<soru>	790635
</soru>	790635
<cevap>	790635
</cevap>	790635
?	783916
;	736118
lar	729570
▁sonra	729294
▁en	663670
ler	656719
▁gibi	633776
▁tarafından	617739
▁çok	611250
ya	584469
dan	566894
den	554513
un	550780
te	543342
na	538461
ne	527225
s	524624
▁kadar	512510
▁iki	498683
▁ilk	453319
ye	443495
▁A	442385
▁büyük	436866
k	431396
▁yılında	429031
la	425995
<wikipedia>	412085
</wikipedia>	412085
<wikipedia_başlık>	412085
</wikipedia_başlık>	412085
<wikipedia_metin>	412085
</wikipedia_metin>	412085
m	409310
ı	401767
▁olduğunu	397110
▁yer	393692
▁her	390461
dir	384289
ları	384189
nde	368596
ta	368406
le	364141
▁şekilde	363480
▁göre	361967
▁olduğu	361732
▁ancak	358161
leri	356695
▁iyi	356022
daki	355116
u	349540
▁doğru	345689
."	337468
▁arasında	335506
▁aynı	332379
▁Adım	329265
nda	321773
li	320013
▁fazla	318381
dır	313159
ni	311647
),	299233
▁Bir	296204
▁diğer	287036
▁yeni	286672
▁önemli	285673
▁ise	278131
yla	267284
▁önce	267057
▁birlikte	263450
▁ne	262822
▁karşı	262309
yi	259237
z	258863
▁sahip	254511
▁oldu	252489
d	250631
▁ilgili	247456
si	247216
deki	242416
t	238986
ların	238125
yı	237612
nun	237129
lı	235760
lerin	228268
▁etti	226709
▁hakkında	224722
▁zaman	224426
).	220759
",	220271
yle	219190
▁şu	218977
▁Cevap	218496
▁cümle	215926
▁Ancak	214392
▁onu	214176
▁var	214165
▁son	213813
▁=	213435
nı	212408
▁B	210266
o	205322
▁değil	204643
▁2.	204520
nden	202288
▁hem	200718
▁1	200243
▁küçük	199786
▁olmak	199603
▁yıl	197991
di	197460
▁1.	196033
r	194947
▁o	194256
Bu	191295
▁tüm	189967
ten	188366
▁ya	187877
▁adı	187620
▁ardından	186511
▁üzere	186281
▁devam	185793
▁farklı	185486
▁soruyu	185069
▁3.	184441
ndan	182611
▁çeşitli	181958
y	181633
▁neden	180943
▁nedeniyle	180851
▁geri	180510
▁bazı	180479
▁zamanda	179909
▁yüksek	178732
▁kabul	176449
▁alan	176039
lik	174046
▁olabilir	173043
▁eden	172498
sa	171621
▁C	171506
’	171167
▁az	170580
tan	169815
▁nasıl	169412
larını	169306
▁bilgi	168851
▁eder	168360
▁verilen	167600
▁onun	166401
▁|	165765
/	164986
▁üzerinde	163603
▁Her	163147
▁tek	161564
▁şey	161551
▁aldı	161213
▁Daha	160237
▁ifade	160100
▁bulunan	159939
▁biri	159289
▁2	159187
▁eski	158249
▁Dünya	157689
▁cevap	156330
▁boyunca	155691
▁ama	155630
lerini	155076
▁ortaya	154361
l	152782
▁içinde	152257
▁su	151994
▁birçok	151546
A	151163
▁yardımcı	151052
▁çünkü	149538
▁üç	149015
▁yeniden	148839
▁kendi	148774
▁sırasında	148146
▁etmek	147686
▁gelen	146533
▁O	145849
▁uzun	145361
▁gelir	145354
▁ABD	145193
▁yol	144981
▁başka	144577
▁ikinci	143595
▁kez	143406
▁genel	143313
▁genellikle	141943
▁Ayrıca	141802
▁anlamına	141559
!	141063
▁Amerika	140823
▁film	140075
▁kişi	139685
▁adlı	138818
▁bağlı	138683
er	138640
p	138207
▁dahil	137861
en	137272
▁S	137156
▁Avrupa	136942
▁olup	136526
▁özel	136327
▁Birleşik	135653
sı	134409
▁gün	133597
▁Soru	133277
▁ediyor	133169
▁3	132246
▁!	132228
▁5	131349
="	130966
ma	130894
▁göz	130648
an	130352
▁başladı	129870
▁kısa	129734
▁konusunda	129576
▁yerine	129138
▁ana	128942
ki	127715
▁soru	127061
center	126103
▁align	125779
▁D	125643
▁uygun	125469
B	125192
▁üzerine	124649
ti	124615
▁vardır	124243
▁karar	124158
▁bunu	122159
▁tarihinde	121901
▁arasındaki	121624
C	120064
du	119033
▁yaptı	118355
▁söyledi	118095
▁Türkiye	117746
▁4.	117698
▁olumlu	117452
S	117054
▁olur	116544
▁ona	116301
▁birkaç	116166
▁süre	115544
▁edin	115114
▁İlk	115085
▁sadece	114966
▁yalnızca	114941
▁herhangi	114810
lu	114406
▁I	113838
ca	113068
▁rağmen	112284
▁mı	111777
me	111249
▁yaklaşık	110192
▁mi	109168
▁tam	108939
▁yapılan	108408
▁En	108397
▁olumsuz	107995
tir	107855
se	107783
▁adım	107557
▁olması	106408
man	105906
▁yok	105814
▁4	105752
▁özellikle	105616
lara	105456
▁10	105093
▁km	104964
▁edilen	104075
▁2:	103496
lere	103357
▁Üniversitesi	103341
lık	102535
ken	102395
▁aşağıdaki	101606
▁olmayan	100916
▁cevabı	100797
▁görev	100520
...	100121
▁olmadığını	99747
▁Türk	99676
▁yakın	99606
▁sıra	98970
▁bunun	98941
▁mümkün	98924
▁açık	98775
▁nedir	98667
▁Evet	98288
▁yardım	98286
▁elde	97790
▁15	97218
▁cevaplayın	97128
lerden	97038
▁kişinin	96464
▁İngilizce	96235
▁iş	96080
Aşağıdaki	95490
▁1:	95429
ce	95281
▁insan	95202
▁E	95166
▁c	94019
▁The	93118
▁New	93090
▁ki	92260
▁temel	92246
Soru	91822
▁Cümle	91811
b	91805
▁Mart	91717
▁seçin	91653
▁Devletleri	91187
ydi	90908
▁belirli	90903
▁müzik	90664
tır	90608
▁yaptığı	90605
▁gerçek	90458
dur	89964
▁vardı	89653
▁mu	89521
▁verdi	89401
▁değildir	89342
▁güçlü	89295
▁Seçenekler	88980
Bir	88397
▁grup	88379
▁nedenle	88331
▁çıktı	88224
▁yemek	88164
ün	88160
▁Mayıs	88104
▁günü	87883
▁ele	87783
um	87728
▁Ocak	87472
▁12	86816
▁önüne	86803
▁hiçbir	86756
▁geldi	86651
▁Eylül	86445
▁yapan	86428
tı	86261
▁kadın	85953
▁hangi	85693
▁alındığında	85570
▁dikkat	85555
▁dört	85105
▁adam	85018
▁İngiliz	84871
▁altında	84484
▁Savaşı	84391
_	84287
dı	84073
▁Ekim	83860
ydı	83787
?"	83649
▁sonunda	83153
▁Kasım	83119
▁6	83045
▁cümleyi	82823
▁+	82681
▁yanı	82347
▁satın	81981
▁oluşan	81859
▁kontrol	81696
▁Haziran	81538
g	81518
▁analiz	81462
f	81211
al	80959
▁ayrıca	80730
▁belirleyin	80624
▁Kuzey	80484
ndeki	80460
▁sorunun	80439
larının	80327
▁Temmuz	80155
▁hale	79651
▁16	79468
▁bilinen	79233
▁tür	79123
▁yönelik	78907
▁edildi	78841
2	78500
▁doğrudan	78282
▁hava	78264
▁Nisan	78215
▁İstanbul	78166
▁Ağustos	78115
▁sonraki	78001
▁Çin	77961
▁Yeni	77898
ü	77648
▁Aralık	77643
c	77469
▁genç	77391
▁Güney	77020
▁kötü	76966
▁konusu	76355
▁20	76339
▁M	75883
▁on	75719
▁5.	75674
lerinin	75594
▁izin	75521
▁haline	75478
▁kazandı	75306
▁ev	74929
▁olduğundan	74839
▁olmuştur	74703
h	74595
▁kız	74575
▁içeren	74377
larına	74355
mi	74217
lardan	74208
▁eğitim	74133
▁bulunmaktadır	74099
▁geniş	74081
▁[	73772
▁of	73740
lerine	73403
▁8	73337
▁milyon	73293
▁sayıda	73259
▁dayanarak	73228
▁sahiptir	73088
▁tekrar	73035
▁tarihi	72812
▁yazın	72810
▁John	72594
yu	72394
▁yerel	72384
▁rol	71900
▁pek	71744
▁bile	71743
D	71599
▁Şubat	71562
olspan	71402
▁17	71300
larından	71209
▁beş	71179
▁Sonuç	71043
lerde	70961
▁dedi	70934
▁para	70917
▁Bunun	70781
▁yapmak	70567
▁K	70436
